category,job_title,skills
Tech,Embedded Systems Engineer,"c, c++, arm, stm32, i2c, spi, uart, interrupts, rtOS, freeRTOS, bare metal, memory management, debugging, oscilloscopes, logic analyzers"
Tech,Firmware Engineer,"c, c++, embedded linux, bootloaders, device drivers, low power, memory optimization, board bring-up, spi, i2c, uart, can bus, diagnostics, testing"
Tech,Systems Administrator,"linux, windows server, active directory, group policy, powershell, bash, virtualization, vmware, hyper-v, backups, disaster recovery, patch management, monitoring, dns, dhcp"
Tech,Network Engineer,"routing, switching, ospf, bgp, vlans, stp, nat, vpn, firewalls, qos, sd-wan, tcp/ip, wireshark, network monitoring, troubleshooting"
Tech,Database Administrator,"mysql, postgres, sql server, oracle, backup & recovery, replication, clustering, indexing, query optimization, security, auditing, high availability, performance tuning"
Tech,Solutions Architect,"requirements, system design, api design, integrations, microservices, event-driven, scalability, security, reliability, cost, documentation, stakeholder management"
Tech,Product Manager (Technical),"roadmap, backlog, user stories, acceptance criteria, analytics, a/b testing, experimentation, kpis, stakeholder management, discovery, prioritization, mvp, go-to-market"
Tech,Scrum Master (Tech),"scrum, kanban, sprint planning, standups, retrospectives, burndown, velocity, impediment removal, facilitation, coaching, jira, confluence, continuous improvement"
Tech,Blockchain Developer,"solidity, smart contracts, hardhat, truffle, web3.js, ethers.js, ethereum, polygon, tokens, nft, ipfs, security, gas optimization, oracles"
Tech,AR/VR Developer,"unity, unreal engine, c#, c++, shaders, xr, openxr, 3d math, rendering, performance optimization, interaction design, head tracking, spatial audio"
Tech,Game Developer,"unity, unreal, c#, c++, game physics, ai behavior, pathfinding, asset pipelines, animation, rendering, performance, multiplayer, networking"
Tech,NLP Engineer,"tokenization, word embeddings, transformers, bert, gpt, rag, vector databases, prompt engineering, fine tuning, evaluation, datasets, preprocessing, named entity recognition"
Tech,Computer Vision Engineer,"opencv, pytorch, tensorflow, detection, segmentation, classification, augmentation, datasets, labeling, mAP, deployment, optimization, onnx, tensorrt"
Tech,BI Developer,"sql, etl, star schema, snowflake schema, power bi, tableau, dashboards, kpis, data modeling, dax, mdx, visualization, performance tuning"
Tech,ETL Developer,"python, pyspark, airflow, dbt, data quality, lineage, scheduling, partitions, incremental loads, s3, parquet, redshift, bigquery"
Tech,Platform Engineer,"kubernetes, service mesh, istio, linkerd, api gateways, ingress, observability, ci/cd, gitops, argo cd, crossplane, terraform, reliability"
Tech,Observability Engineer,"prometheus, grafana, loki, tempo, otel, tracing, metrics, logs, alerting, slos, incident response, runbooks, dashboards, root cause analysis"
Tech,Release Engineer,"release management, branching strategies, versioning, semantic versioning, ci/cd, artifact management, changelogs, rollback, canary, blue-green"
Tech,API Developer,"rest, graphql, grpc, openapi, postman, oauth, jwt, rate limiting, pagination, versioning, caching, testing, documentation"
Tech,Microservices Architect,"domain-driven design, event sourcing, cqrs, saga pattern, message brokers, kafka, rabbitmq, resiliency, circuit breakers, observability, scaling, service discovery"
Tech,Kubernetes Administrator,"kubernetes, kubectl, helm, operators, crds, cluster autoscaler, network policies, persistent volumes, ingress, monitoring, upgrades, troubleshooting"
Non-Tech,Business Analyst,"requirements gathering, stakeholder interviews, process mapping, user stories, acceptance criteria, gap analysis, swot, wireframes, uat, reporting, kpis, business cases, documentation, communication"
Non-Tech,Product Manager,"product strategy, roadmap, discovery, prioritization, user research, personas, mvp, analytics, a/b testing, kpis, stakeholder management, launch planning"
Non-Tech,Project Manager,"project planning, scheduling, budgeting, scope management, risk management, communication, stakeholder management, agile, waterfall, reporting, ms project, governance"
Non-Tech,Marketing Manager,"marketing strategy, branding, segmentation, positioning, go-to-market, campaigns, kpis, roi, content, crm, email marketing, events, pr, partnerships"
Non-Tech,Digital Marketing Specialist,"seo, sem, ppc, google ads, analytics, social media, content marketing, email marketing, conversion optimization, landing pages, funnels, crm"
Non-Tech,SEO Specialist,"keyword research, on-page seo, technical seo, link building, site audits, schema, google search console, analytics, content optimization, reporting"
Non-Tech,Content Writer,"copywriting, blogging, storytelling, seo writing, research, outlines, editing, proofreading, cms, wordpress, tone of voice, deadlines"
Non-Tech,Technical Writer,"documentation, api docs, tutorials, how-tos, reference, information architecture, diagrams, version control, style guides, reviews, feedback"
Non-Tech,UX Researcher,"user interviews, surveys, usability testing, personas, journey maps, competitive analysis, research synthesis, insights, reporting, ethics"
Non-Tech,UI/UX Designer,"wireframing, prototyping, figma, sketch, adobe xd, design systems, accessibility, interaction design, visual design, responsive design, user flows"
Non-Tech,HR Generalist,"recruitment, onboarding, payroll, benefits, employee relations, performance management, compliance, policies, training, hris"
Non-Tech,Talent Acquisition Specialist,"sourcing, screening, interviewing, employer branding, offer negotiation, ats, pipelines, referrals, campus hiring, diversity hiring"
Non-Tech,Customer Success Manager,"onboarding, adoption, qbrs, health scores, churn reduction, upsell, renewals, playbooks, escalation management, feedback loops"
Non-Tech,Sales Executive,"prospecting, cold calling, demos, objection handling, negotiation, closing, crm, pipeline management, forecasting, quotas"
Non-Tech,Account Manager,"relationship management, renewals, upsell, cross-sell, qbrs, contracts, customer advocacy, portfolio planning, reporting, crm"
Non-Tech,Finance Analyst,"financial modeling, variance analysis, budgeting, forecasting, kpis, reporting, excel, powerpoint, scenario analysis, dashboards"
Non-Tech,Accountant,"bookkeeping, ap/ar, general ledger, reconciliations, month-end close, tax compliance, audit support, payroll, reporting, controls"
Non-Tech,Operations Manager,"process improvement, kpis, dashboards, capacity planning, vendor management, slas, sops, risk management, compliance, teamwork"
Non-Tech,Supply Chain Analyst,"demand planning, inventory, forecasting, logistics, warehousing, procurement, sourcing, kpis, reporting, analytics"
Non-Tech,Procurement Specialist,"rfqs, supplier selection, negotiation, contracts, vendor management, cost savings, compliance, erp, kpis, reporting"
Non-Tech,Data Entry Clerk,"typing, accuracy, attention to detail, ms excel, google sheets, data cleaning, formatting, templates, validation, filing"
Non-Tech,Office Administrator,"scheduling, calendar management, travel booking, office supplies, facilities, vendor coordination, correspondence, filing, reception, ms office"
Non-Tech,Legal Assistant,"legal research, drafting, proofreading, case files, discovery, citations, scheduling, confidentiality, communication, organization"
Non-Tech,Compliance Analyst,"policies, procedures, controls, risk assessment, monitoring, testing, reporting, remediation, training, regulations"
Non-Tech,Risk Analyst,"risk identification, assessment, mitigation, kpis, reporting, scenario analysis, controls, governance, communication, frameworks"
Non-Tech,Quality Assurance (Non-tech),"process audits, checklists, sampling, defect tracking, root cause, corrective actions, kpis, reports, standards, training"
Non-Tech,Product Marketing Manager,"positioning, messaging, personas, competitive analysis, launch plans, sales enablement, content, campaigns, kpis, roi"
Non-Tech,Social Media Manager,"content calendars, copywriting, community management, paid social, analytics, influencers, reels, trends, brand voice, scheduling"
